男|甘肃|1985|同济大学（四平路）|本科在读|本科在读|材料科学与工程|本科大四学生|小学数学,初一初二数学,初一初二物理,初三数学,初三物理,|性格温和，有热情，做事认真稳重||小学数学,初一初二数学,初一初二物理,初三数学,初三物理,|||
男|浙江|1985|上海外国语大学（松江）|本科在读|本科在读|韩国语，英语|本科大四学生|精准普通话,初级韩语,|||精准普通话,初级韩语,|||
男|湖南|1985|同济大学（四平路）|本科在读|本科在读|机械设计制造及其自动化|本科大四学生|小学英语,小学数学,初一初二物理,初一初二数学,初一初二英语,初三英语,初三数学,初三物理,高一高二英语,高一高二数学,高一高二物理,高三英语,高三数学,高三物理,|||小学英语,小学数学,初一初二物理,初一初二数学,初一初二英语,初三英语,初三数学,初三物理,高一高二英语,高一高二数学,高一高二物理,高三英语,高三数学,高三物理,|||
男|上海|1985|华东理工大学（梅陇）|本科在读|本科在读|人力资源管理|本科大三学生|小学语文,小学数学,小学英语,初一初二语文,初一初二英语,初一初二物理,初三英语,高一高二语文,高一高二英语,高三英语,上海话,精准普通话,初级英语口语,初级新概念英语,初级牛津英语,|我英语水平较好,特别是口语||小学语文,小学数学,小学英语,初一初二语文,初一初二英语,初一初二物理,初三英语,高一高二语文,高一高二英语,高三英语,上海话,精准普通话,初级英语口语,初级新概念英语,初级牛津英语,|||
男|上海|1986|上海外国语大学（虹口）|本科在读|本科在读|工商管理（英语）|本科大二学生|高一高二英语,|上海外国语大学贤达经济人文学院学生国家计划内招生英语强项||高一高二英语,|||
女|江苏|1983|扬州教育学院|大专毕业|大专毕业|英语专业|专职教师|小学英语,初一初二英语,初三英语,精准普通话,初级英语口语,初级新概念英语,钢琴,计算机基本操作,计算机应用能力初级,图像处理软件,瑜珈,|PET3级证书，普通话一级乙等证书，平面设计师证书，计算机初中级证书。从教四年，优秀的教育教学，不断进取的拼搏精神，现在上海新东方英语学院进修中级口译。||小学英语,初一初二英语,初三英语,精准普通话,初级英语口语,初级新概念英语,钢琴,计算机基本操作,计算机应用能力初级,图像处理软件,瑜珈,|英语|4|小学二级教师
女|上海|1984-2|上海大学（宝山）|本科在读|本科在读|日语|本科大四学生|日语,吉他,小学英语,小学数学,小学语文,初一初二英语,计算机基本操作,普通话,对外汉语,上海话,初三英语,初一初二语文,初一初二数学（代数）,高一英语,|性格开朗，喜欢音乐大学英语四级||日语,吉他,小学英语,小学数学,小学语文,初一初二英语,计算机基本操作,普通话,对外汉语,上海话,初三英语,初一初二语文,初一初二数学（代数）,高一英语,|||
男|山西|1982|上海交通大学（闵行）|本科在读|本科在读|化学|本科大四学生|小学数学,小学奥数,初一初二数学,初一初二物理,初一初二化学,初三数学,初三物理,初三化学,初中奥数,高一高二数学,高一高二物理,高一高二化学,高三数学,高三物理,高三化学,|小学获全国数学竞赛三等奖、九章杯二等奖初中获希望杯初二三等奖、初三三等奖高中获全国数学竞赛一等奖、所在省地区竞赛一等奖、希望杯高二三等奖||小学数学,小学奥数,初一初二数学,初一初二物理,初一初二化学,初三数学,初三物理,初三化学,初中奥数,高一高二数学,高一高二物理,高一高二化学,高三数学,高三物理,高三化学,|||
女|山西|1979|上海外国语大学（虹口）|硕士在读|硕士在读|英语语言文学|在读硕士生|初级英语口语,高级英语口语,|英语专业八级，高校语言类教师资格，口语流利，性格温和，有耐性。||初级英语口语,高级英语口语,|||
女|安徽|1985-03-26|上海海事大学|本科|本科|会计|在校大一学生|初中数学,初中英语,初中语文,高中数学,高中语文,|绘画书法插花||初中数学,初中英语,初中语文,高中数学,高中语文,|||
女|上海|1984|上海对外贸易学院（松江）|本科在读|本科在读|国际经济法|本科大四学生|小学英语,小学语文,小学数学,初一初二语文,初一初二英语,初一初二数学,初三语文,初三英语,初三数学,中考心里辅导,高一高二语文,高一高二英语,高三英语,上海话,精准普通话,大学英语四级，英语口语|拥有两年的涉外家教经验，用英语教授日本籍学生汉语和数学。拥有CET-6和中级口译证书。拥有较强的交流能力和表达能力。||小学英语,小学语文,小学数学,初一初二语文,初一初二英语,初一初二数学,初三语文,初三英语,初三数学,中考心里辅导,高一高二语文,高一高二英语,高三英语,上海话,精准普通话,大学英语四级，英语口语|||
男|河南|1984|上海海事大学（洋泾）|本科在读|本科在读|轮机工程|本科大三学生|小学数学,小学英语,初一初二英语,初一初二数学,初一初二物理,初一初二化学,初三英语,初三化学,高一高二数学,高一高二物理,高一高二化学,高三化学,初三数学,|||小学数学,小学英语,初一初二英语,初一初二数学,初一初二物理,初一初二化学,初三英语,初三化学,高一高二数学,高一高二物理,高一高二化学,高三化学,初三数学,|||
女|上海|1984|上海海事大学（洋泾）|本科在读|本科在读|国际经济与贸易|本科大三学生|上海话,精准普通话,高三数学,高一高二英语,高一高二数学,初三数学,初三英语,初一初二数学,|各国语言都略有所知：诸如法，俄，日等||上海话,精准普通话,高三数学,高一高二英语,高一高二数学,初三数学,初三英语,初一初二数学,|||
女|上海市|1984-2|华东政法大学（松江）|本科在读|本科在读|国际经济法|本科大二学生|小学语文,小学数学,小学英语,小学奥数,初一初二语文,初一初二英语,初一初二数学（代数）,初一初二化学,初三数学（代数）,初三化学,小提琴|中学,大学阶段学习成绩优秀. 表达能力强. 有辅导初中学生的经验. 小提琴十级,并曾获奖.||小学语文,小学数学,小学英语,小学奥数,初一初二语文,初一初二英语,初一初二数学（代数）,初一初二化学,初三数学（代数）,初三化学,小提琴|||
男|湖南|1980|华东理工大学（梅陇）|硕士在读|硕士在读|化工过程机械|在读硕士生|初一初二数学,初一初二物理,初一初二化学,初三数学,初三物理,初三化学,高一高二数学,高一高二物理,高一高二化学,初级新概念英语,计算机基本操作,计算机应用能力中级,程序设计初级,|||初一初二数学,初一初二物理,初一初二化学,初三数学,初三物理,初三化学,高一高二数学,高一高二物理,高一高二化学,初级新概念英语,计算机基本操作,计算机应用能力中级,程序设计初级,|||
男|黑龙江|1973|哈尔滨师范大学|本科毕业|本科毕业|物理|离职初中教师|中考心里辅导,高考心里辅导,心理咨询，学习方法,学习困难诊治,网络成瘾|十年教学经验，有国家心理咨询师资格证书。专职：心理咨询||中考心里辅导,高考心里辅导,心理咨询，学习方法,学习困难诊治,网络成瘾|物理|10|中学二级教师
女|上海|1987|上海师范大学（徐汇）|本科在读|本科在读|音乐学|本科大二学生|声乐（民族）,钢琴,小学语文,上海话,精准普通话,钢笔字|本人性格开朗活泼容易和孩子相处，有耐心和责任心||声乐（民族）,钢琴,小学语文,上海话,精准普通话,钢笔字|||
女|上海|1983|华东政法大学（长宁）|本科在读|本科在读|法学民商|本科大四学生|小学语文,小学数学,小学英语,初一初二英语,初三英语,|||小学语文,小学数学,小学英语,初一初二英语,初三英语,|||
女|江西|1984|华东政法大学（松江）|本科在读|本科在读|金融&法律|本科大四学生|小学语文,小学数学,小学英语,初一初二数学,初一初二英语,初三数学,初一初二语文,高等数学,精准普通话,初一初二化学,|我是华政一名大三的女学生,主修金融并自考法律,英语四级已过.我有一年的家教经验,分别教过小学和初中的学生,并且取得的不错的效果,家长和学员都很满意.我是个性格活泼开朗,富有亲和力的人,爱好广泛,各种体育运动如网球羽毛球乒乓球游泳等等文艺活动看书(各类书籍都有涉猎).大一我获得学校三等综合奖学金、社会工作奖||小学语文,小学数学,小学英语,初一初二数学,初一初二英语,初三数学,初一初二语文,高等数学,精准普通话,初一初二化学,|||
男|福建|1984|上海海事大学（洋泾）|本科在读|本科在读|航海技术|本科大四学生|小学奥数,小学英语,小学数学,初一初二英语,初一初二数学,初一初二物理,初一初二化学,|||小学奥数,小学英语,小学数学,初一初二英语,初一初二数学,初一初二物理,初一初二化学,|||
女|上海|1984|上海师范大学（徐汇）|本科在读|本科在读|钢琴声乐|本科大四学生|声乐（美声）,钢琴,小学语文,合唱|再校主修声乐，副修钢琴，钢琴8级证书，担任校行知合唱团声部长，代表学校赴香港澳门等地演出，获得好评||声乐（美声）,钢琴,小学语文,合唱|||
女|上海|1984|上海师范大学（徐汇）|本科在读|本科在读|美术艺术类环境艺术专业|本科大四学生|上海话,精准普通话,初级新概念英语,初级英语口语,书法,美术,卡通画,西洋画,计算机基本操作,图像处理软件,素描，水粉，水彩，书法|可帮助学生掌握多门手艺，多才多艺的我，能让孩子在暑假周末学习到更多爱好，让其发挥自己的潜能！||上海话,精准普通话,初级新概念英语,初级英语口语,书法,美术,卡通画,西洋画,计算机基本操作,图像处理软件,素描，水粉，水彩，书法|||
男|安徽|1982|郑州大学|本科毕业|本科毕业|自动化，工商管理|管理者|小学英语,小学数学,初一初二英语,初一初二物理,初一初二化学,初三英语,初三数学,初三物理,初三化学,高一高二英语,高一高二数学,|||小学英语,小学数学,初一初二英语,初一初二物理,初一初二化学,初三英语,初三数学,初三物理,初三化学,高一高二英语,高一高二数学,|||
女|上海|1986|华东政法大学（松江）|本科在读|本科在读|国际经济法专业|本科大三学生|小学数学,初一初二英语,初一初二数学,初一初二物理,初三数学,初三物理,初三化学,高一高二数学,高一高二物理,高三数学,高三物理,|华罗庚全国数学金杯邀请赛全国三等奖，全国征文比赛全国二等奖，全国征文比赛上海赛区一等奖，高考物理136（该年物理调剂分数上限为131）||小学数学,初一初二英语,初一初二数学,初一初二物理,初三数学,初三物理,初三化学,高一高二数学,高一高二物理,高三数学,高三物理,|||
男|加拿大|1969||硕士毕业|硕士毕业||海外华侨|商务英语,高级英语口语,|北美名校MBA,500强企业高级白领，乐于助人||商务英语,高级英语口语,|||
女|上海|1986|上海大学（宝山）|本科在读|本科在读|国际工商与管理|本科大三学生|初三英语,初三数学,初三化学,高一高二英语,高一高二数学,高一高二化学,高三英语,高三数学,高三化学,上海话,英语四级,初级法语,计算机基本操作,|大一拿过一等奖奖学金,通过大学英语四级,为人热情,耐心,有责任心||初三英语,初三数学,初三化学,高一高二英语,高一高二数学,高一高二化学,高三英语,高三数学,高三化学,上海话,英语四级,初级法语,计算机基本操作,|||
男|上海|1982|同济大学（四平路）|硕士在读|硕士在读|交通运输,情报学|在读硕士生|小学英语,初一初二英语,初三英语,高一高二英语,高三英语,初级英语口语,初级新概念英语,初级牛津英语,英语四级,精准英语语音,|英语特别好,通过国家英语六级,有中级口译证书,有丰富的家教经验,经常和外国人谈话,所以口语非常好.||小学英语,初一初二英语,初三英语,高一高二英语,高三英语,初级英语口语,初级新概念英语,初级牛津英语,英语四级,精准英语语音,|||
女|上海|1983|同济大学（四平路）|本科在读|本科在读|物流管理|本科大三学生|小学语文,小学数学,小学英语,初一初二语文,初一初二英语,初一初二数学,初一初二物理,初三语文,中考心里辅导,高考心里辅导,高等数学,英语四级,|有耐心,学习成绩优秀,有部分高中经验教材||小学语文,小学数学,小学英语,初一初二语文,初一初二英语,初一初二数学,初一初二物理,初三语文,中考心里辅导,高考心里辅导,高等数学,英语四级,|||
女|辽宁|1979|上海理工大学|本科毕业|本科毕业|机械工程及自动化|在职大学教师|初一初二英语,初一初二数学,初一初二物理,初一初二化学,初三英语,初三数学,初三物理,初三化学,高一高二英语,高一高二数学,高一高二物理,高一高二化学,高三数学,高三化学,高三物理,高等数学,|擅长沟通，有教学及家教经验，擅长理科教学||初一初二英语,初一初二数学,初一初二物理,初一初二化学,初三英语,初三数学,初三物理,初三化学,高一高二英语,高一高二数学,高一高二物理,高一高二化学,高三数学,高三化学,高三物理,高等数学,|计算机|5|大学助教
男|上海|1969|华东师范大学|本科毕业|本科毕业|英国语言文学|市场营销|小学英语,初一初二英语,初三英语,上海话,商务英语,|本人所学专业是英国语言文学和教学,曾在某区重点重点实习,从事过外贸和市场营销等工作,并曾在上海知名外贸公司和国际知名企业任职,熟悉商务英语和外貌英语||小学英语,初一初二英语,初三英语,上海话,商务英语,|||
女|上海|1986|上海外国语大学（虹口）|本科在读|本科在读|商务英语|本科大二学生|小学语文,小学英语,小学数学,初一初二英语,上海话,英语口语教外国人中文|||小学语文,小学英语,小学数学,初一初二英语,上海话,英语口语教外国人中文|||
女|上海|1984|上海师范大学（徐汇）|本科在读|本科在读|数学师范|本科大四学生|初一初二数学,初三数学,中考心里辅导,小学英语,初一初二英语,|经验丰富、专业对口，有责任心、耐心教学效果良好学习能力强、教学风趣幽默容易接受英语四级已过、计算机一级已过（正在读中级口译）普通话水平二级甲等||初一初二数学,初三数学,中考心里辅导,小学英语,初一初二英语,|||
女|上海|1986|上海大学（宝山）|本科在读|本科在读|法学|本科大三学生|小学英语,小学语文,小学数学,初一初二英语,初三英语,高一高二英语,高三英语,高考心里辅导,初级英语口语,初级新概念英语,初级牛津英语,英语四级,|性格开朗，口齿清晰，具有亲和力，能活跃气氛，获得过区中小学生读书征文二等奖，高中校英语辩论最佳辩手称号，CET-4优秀证书等。||小学英语,小学语文,小学数学,初一初二英语,初三英语,高一高二英语,高三英语,高考心里辅导,初级英语口语,初级新概念英语,初级牛津英语,英语四级,|||
女|上海|1986|复旦大学（其它）|本科在读|本科在读|国际经济与贸易|本科大三学生|小学语文,小学英语,小学数学,初一初二英语,精准普通话,小提琴,|我的小提琴已经达到十二级，曾在上海音乐学院学习过两年，并且获得清华，复旦，交大，北大等专业认可有证书凭证||小学语文,小学英语,小学数学,初一初二英语,精准普通话,小提琴,|||
女|上海|1985|上海对外贸易学院（松江）|本科在读|本科在读|商务日语|本科大三学生|小学语文,小学英语,上海话,精准普通话,初一初二英语,小学数学,初级日语,电子琴,高中历史|相信我,没错的||小学语文,小学英语,上海话,精准普通话,初一初二英语,小学数学,初级日语,电子琴,高中历史|||
女|浙江|1980|上海外国语大学|本科毕业|本科毕业|英语语言文学|工作者|小学英语,初一初二英语,初三英语,高一高二英语,高三英语,初级英语口语,初级新概念英语,初级牛津英语,英语四级,高级新概念英语,|英语专业八级,热爱英语教育事业,认真负责,善于沟通,辅导过的学生英语都有一定的进步,并能提高学习兴趣.||小学英语,初一初二英语,初三英语,高一高二英语,高三英语,初级英语口语,初级新概念英语,初级牛津英语,英语四级,高级新概念英语,|||
女|上海|1980|华东师范大学|本科毕业|本科毕业|中文|在职初中教师|初一初二语文,初一初二英语,上海话,|阅读写作．报刊发表过很多文章，全市语文教师新民晚报主办的作文比赛中获得二等奖，全国教师教育论文获得一等奖一次二等奖一次||初一初二语文,初一初二英语,上海话,|语文|2|中学一级教师
女|上海|1985|上海师范大学（徐汇）|本科在读|本科在读|英语|本科大四学生|小学英语,小学数学,初一初二英语,初三英语,上海话,初级英语口语,初级新概念英语,初级牛津英语,英语四级,|||小学英语,小学数学,初一初二英语,初三英语,上海话,初级英语口语,初级新概念英语,初级牛津英语,英语四级,|||
男|加拿大|1967||本科毕业|本科毕业|财务管理，应用化学|海外留学|小学英语,初一初二英语,初三英语,高一高二英语,上海话,精准普通话,初级英语口语,初级新概念英语,初级牛津英语,英语四级,托福,精准英语语音,|IamashanghainesestayinginCanadaforsevenyears.WhatIcanhelpyouismyEnglishstudyingexperience.IamcomingfromawesterncityofCanada,Vancouver,andstudyingandworkinginthisbeautifulcity.Stayingwithme,youwilllearnmoreaboutthewesterncultureandknowledge.AlsoIhaveoneyearexperienceinteachingbusinessmathi||小学英语,初一初二英语,初三英语,高一高二英语,上海话,精准普通话,初级英语口语,初级新概念英语,初级牛津英语,英语四级,托福,精准英语语音,|||
男|浙江|1983|浙江大学|本科毕业|本科毕业|浙江大学|工作者|小学数学,小学奥数,小学英语,初一初二英语,初一初二数学,初一初二物理,初一初二化学,初三英语,初三数学,初三物理,初三化学,初中奥数,高一高二数学,高一高二英语,计算机基础,C语言基础,Java基础等|连续2年校优秀三等奖,软件工程师证书,本人数学与应用数学专业2005届毕业生||小学数学,小学奥数,小学英语,初一初二英语,初一初二数学,初一初二物理,初一初二化学,初三英语,初三数学,初三物理,初三化学,初中奥数,高一高二数学,高一高二英语,计算机基础,C语言基础,Java基础等|||
女|卢森堡|1979|大连外国语学院|本科毕业|本科毕业|英语文学|海外工作归国人员|初一初二英语,小学英语,初三英语,高一高二英语,高三英语,初级英语口语,初级新概念英语,初级牛津英语,精准英语语音,高级新概念英语,|英语八级；海外生活经验；标准美语口音。||初一初二英语,小学英语,初三英语,高一高二英语,高三英语,初级英语口语,初级新概念英语,初级牛津英语,精准英语语音,高级新概念英语,|||
女|上海|1984|华东师范大学（普陀）|本科在读|本科在读|公共事业管理（教育管理）|本科大四学生|小学语文,小学数学,小学英语,初一初二物理,初一初二化学,初三物理,初三化学,初一初二数学,初一初二英语,初一初二语文,初三英语,初三数学,高一高二化学,高一高二英语,精准普通话,高考心里辅导,计算机初级使用（本人有优秀证书）|为人热诚，学习认真并取得优秀成绩．获２００４年度专业奖学金二等奖．２００５年初获文汇学子论坛征文比赛高校组优胜奖（以上都有证书）初中时由于成绩优秀被保送进入高中．在校期间尤其偏爱理科，虽现就读教育类的文科专业，但对理科仍十分爱好．没有偏科的现象是我学习成功的秘诀，愿与广大学员分享我的学习经验．||小学语文,小学数学,小学英语,初一初二物理,初一初二化学,初三物理,初三化学,初一初二数学,初一初二英语,初一初二语文,初三英语,初三数学,高一高二化学,高一高二英语,精准普通话,高考心里辅导,计算机初级使用（本人有优秀证书）|||
男|上海|1983|上海体育学院（五角场）|本科在读|本科在读|体育教育|本科大三学生|游泳,中国武术,|我是上海体育学院体育教育专业的学生，优秀青年志愿者，奖学金获得者。工作认真负责，有家教经验。从大一至今都在不断地从事各种家教工作！||游泳,中国武术,|||
女|浙江|1982|东华大学（长宁）|硕士在读|硕士在读|纺织工程|在读硕士生|初一初二英语,初一初二数学,初一初二物理,初三数学,初中奥数,高等数学,小学奥数,高一高二数学,英语四级,英语六级,高三数学,高中奥数,|本人性格活泼开朗，具有积极向上和刻苦钻研的精神。具有较好的语言表达能力，英语数学比较好，特别是逻辑推理能力极强，高中是获过数学奥林匹克竞赛三等奖。||初一初二英语,初一初二数学,初一初二物理,初三数学,初中奥数,高等数学,小学奥数,高一高二数学,英语四级,英语六级,高三数学,高中奥数,|||
女|上海|1985|上海大学（嘉定）|本科在读|本科在读|行政管理|本科大四学生|小学英语,小学数学,初一初二英语,英语四级,上海话,小朋友陪读|我喜欢英语，英语四级的成绩为93分，曾经高中参加过英语演讲比赛并获得第二名，大学里读书认真，每年都拿奖学金。||小学英语,小学数学,初一初二英语,英语四级,上海话,小朋友陪读|||
女|上海|1982|上海师范大学（奉贤）|本科在读|本科在读|工程管理|本科大三学生|小学英语,小学数学,初一初二英语,初一初二数学,初一初二化学,初三英语,高等数学,初级新概念英语,初级英语口语,初一初二语文,|||小学英语,小学数学,初一初二英语,初一初二数学,初一初二化学,初三英语,高等数学,初级新概念英语,初级英语口语,初一初二语文,|||
女|上海|1984|同济大学（四平路）|本科在读|本科在读|德语|本科大四学生|高级德语,初级德语,高级英语口语,高级牛津英语,高级新概念英语,精准英语语音,初级英语口语,初级新概念英语,初级牛津英语,精准普通话,高一高二英语,初三英语,初一初二英语,小学英语,|德语专业四级大学英语六级||高级德语,初级德语,高级英语口语,高级牛津英语,高级新概念英语,精准英语语音,初级英语口语,初级新概念英语,初级牛津英语,精准普通话,高一高二英语,初三英语,初一初二英语,小学英语,|||
女|上海|1983|华东师范大学（普陀）|本科在读|本科在读|电子信息科学与技术|本科大四学生|初一初二语文,初一初二英语,初一初二数学,初一初二物理,初三英语,初三数学,初三物理,高一高二数学,高一高二物理,上海话,|善于理科，英文通过六级，有家教经验，对学生耐心，容易沟通||初一初二语文,初一初二英语,初一初二数学,初一初二物理,初三英语,初三数学,初三物理,高一高二数学,高一高二物理,上海话,|||
女|上海|1987|东华大学（松江）|本科在读|本科在读|工业设计|本科大二学生|钢琴,|||钢琴,|||
男|福建|１９８２－１０|同济大学（四平路）|大专在读|大专在读|日语|大专在读学生|小学数学,小学英语,初一初二数学,初一初二物理,初三物理,高一高二物理,高一高二数学,初级日语,中国象棋,乒乓球,|乐于助人，开朗，善于聊天。 做菜＇多种娱乐运动＇摄影等。||小学数学,小学英语,初一初二数学,初一初二物理,初三物理,高一高二物理,高一高二数学,初级日语,中国象棋,乒乓球,|||
男|山东|1984|华东政法大学（松江）|本科在读|本科在读|侦查学专业|本科大三学生|初一初二英语,初一初二数学,初一初二物理,初一初二化学,初三英语,初三数学,初三物理,初三化学,初中奥数,高一高二英语,高一高二数学,高一高二化学,高三数学,高三物理,高三化学,|初三数学奥赛一等奖高中数学竞赛三等奖对学习认真，对工作负责。||初一初二英语,初一初二数学,初一初二物理,初一初二化学,初三英语,初三数学,初三物理,初三化学,初中奥数,高一高二英语,高一高二数学,高一高二化学,高三数学,高三物理,高三化学,|||
男|上海|1984|同济大学（四平路）|本科在读|本科在读|国际经济与贸易|本科大四学生|初三英语,高一高二英语,高三英语,上海话,精准普通话,精准英语语音,高级新概念英语,初级德语,乒乓球,网球,高考心里辅导,中考心里辅导,|大学英语,德语都过了四六级.做过所有高中年级的家教,对高考有较深研究.||初三英语,高一高二英语,高三英语,上海话,精准普通话,精准英语语音,高级新概念英语,初级德语,乒乓球,网球,高考心里辅导,中考心里辅导,|||
男|安徽|1984|华东政法大学（松江）|本科在读|本科在读|侦查学经济侦查|本科大四学生|小学数学,小学语文,初一初二数学,初一初二英语,初一初二物理,初一初二化学,初三数学,初三物理,初三化学,初三语文,高一高二英语,高一高二数学,高一高二物理,高一高二化学,高三化学,高三物理,陪玩|本人高初中成绩特好！一直是前几名！！多次获奖！！高考“意外不幸”被华政录取！成绩特好||小学数学,小学语文,初一初二数学,初一初二英语,初一初二物理,初一初二化学,初三数学,初三物理,初三化学,初三语文,高一高二英语,高一高二数学,高一高二物理,高一高二化学,高三化学,高三物理,陪玩|||
女|上海|1986|上海外国语大学（虹口）|本科在读|本科在读|新闻学|本科大三学生|钢琴,小学数学,小学英语,初一初二英语,初一初二数学,初三英语,中考心里辅导,高一高二英语,高三英语,高考心里辅导,钢琴陪练，外籍小孩钢琴陪练|想找钢琴陪练的来找我哦！　　我是一名在校女大学生，目前就读与上海外国语大学新闻学院．从小学就开始练习钢琴，前些时候刚考出琴童中心的钢琴陪练高级证书和钢琴教育教法高级证书．　　在学有余力的情况下我希望能成为一名钢琴陪练教师．由于我在外国语学校读书，良好的外语基础也使我能够比较轻松的担任外籍小孩的陪||钢琴,小学数学,小学英语,初一初二英语,初一初二数学,初三英语,中考心里辅导,高一高二英语,高三英语,高考心里辅导,钢琴陪练，外籍小孩钢琴陪练|||
女|上海|1985|上海师范大学（奉贤）|本科在读|本科在读|旅游管理|本科大三学生|小学英语,初一初二化学,初一初二英语,初三化学,上海话,精准普通话,|||小学英语,初一初二化学,初一初二英语,初三化学,上海话,精准普通话,|||
女|上海|1983|上海理工大学|本科毕业|本科毕业|信息管理与信息系统|信息工程师|高一高二英语,高三英语,上海话,精准普通话,初级英语口语,英语四级,英语六级,高级英语口语,精准英语语音,初级法语,初级数据库,|凯恩英语口语7级英语高级口译||高一高二英语,高三英语,上海话,精准普通话,初级英语口语,英语四级,英语六级,高级英语口语,精准英语语音,初级法语,初级数据库,|||
男|天津|1979|天津音乐学院|本科毕业|本科毕业|声乐表演|老师|钢琴陪练，视唱练耳，乐理|　正规音乐学院毕业，2004年获首届全国“声乐、器乐、舞蹈”大赛上海赛区美声唱法一等奖。有多年从事家教经验，且教课认真、仔细、负责，得到家长、学生一致好评与信任。||钢琴陪练，视唱练耳，乐理|||
男||1980|福建省福州大学|大专在读|大专在读|机电一体化|工作者|中考心里辅导,中国象棋,跆拳道,游泳,羽毛球,计算机应用能力初级,计算机基本操作,初一初二数学,初一初二物理,初一初二化学,小学语文,小学数学,小学英语,生活能力指导，人际交往指导，学习精神培养|一个文凭不高但自强不息的生活强者，踏入社会后历尽挫折，对人生有了不少实用的感悟，不断的努力学习，从书籍等前人的经验中学，从生活实践中学，由此而来的胆识，是我一生不尽的财富。深信健康与知识一样重要，学习之余参加多项体育运动，游泳，羽毛球是我的强项。中考各科总成绩学校第一，全县前十。||中考心里辅导,中国象棋,跆拳道,游泳,羽毛球,计算机应用能力初级,计算机基本操作,初一初二数学,初一初二物理,初一初二化学,小学语文,小学数学,小学英语,生活能力指导，人际交往指导，学习精神培养|||
女|河南|1981|东华大学（长宁）|硕士在读|硕士在读|精细化工，仿生材料，工商管理|在读硕士生|初一初二数学,初三数学,高一高二数学,高三数学,高等数学,计算机应用能力初级,动画制作,滑冰旱冰,乒乓球,|喜欢数学，从小一直数学成绩优秀。在上任教，大多都是数学方面的。计算机操作熟练，熟悉flash动画。旱冰和乒乓球很不错，教过很多朋友。||初一初二数学,初三数学,高一高二数学,高三数学,高等数学,计算机应用能力初级,动画制作,滑冰旱冰,乒乓球,|||
女|上海|1985|上海对外贸易学院（松江）|本科在读|本科在读|英语（翻译方向）|本科大四学生|小学数学,小学英语,初一初二英语,初一初二数学,初三英语,初三数学,初级英语口语,初级牛津英语,精准英语语音,商务英语,|我就读的上海市对外贸易学院是华东地区唯一的一所商科类大学，他以英语和贸易著称。所以在英语方面我有比其他学校学生的优势。获学校英语演讲比赛3等奖，风采之星大赛最具人气奖，嘉定区青年才艺大赛青春风采奖。英语口语好||小学数学,小学英语,初一初二英语,初一初二数学,初三英语,初三数学,初级英语口语,初级牛津英语,精准英语语音,商务英语,|||
女|上海|1984-9-1|东华大学（松江）|本科在读|本科在读|国际经济与贸易|本科大二学生|小学语文,小学数学,小学英语,中考心里辅导,初中语文,初中英语,普通话,上海话,计算机基本操作,|学习上塌实进取,生活中乐观开朗.兴趣爱好广泛,如摄影\国际象棋\羽毛球.......希望和每个人成为好朋友||小学语文,小学数学,小学英语,中考心里辅导,初中语文,初中英语,普通话,上海话,计算机基本操作,|||
男|江苏|1984-4|上海海事大学（洋泾）|本科在读|本科在读|自动化|本科大三学生|小学数学,小学奥数,初一初二数学（代数）,初一初二数学（几何）,初一初二物理,初三数学（代数）,初三数学（几何）,初三物理,初三化学,初中奥数,高一数学,高一物理,高一化学,|工作责任心强分析细致思维严谨||小学数学,小学奥数,初一初二数学（代数）,初一初二数学（几何）,初一初二物理,初三数学（代数）,初三数学（几何）,初三物理,初三化学,初中奥数,高一数学,高一物理,高一化学,|||
女|黑龙江|1983|上海外国语大学|本科毕业|本科毕业|工商管理|咨询人员|高一高二英语,初一初二英语,初一初二数学,精准普通话,英语四级,英语六级,初级新概念英语,高级新概念英语,|英语专业八级\\大学英语六级开朗自信,出生于教师世家的我绝对不会让您失望||高一高二英语,初一初二英语,初一初二数学,精准普通话,英语四级,英语六级,初级新概念英语,高级新概念英语,|||
男|四川|1983|华东师范大学（普陀）|本科在读|本科在读|经济学|本科大四学生|小学英语,初一初二英语,初一初二数学,初一初二物理,初一初二化学,初三英语,初三数学,初三物理,初三化学,高一高二数学,高一高二化学,高三数学,高三化学,高等数学,英语四级,|初高中时理科类各类竞赛都曾获奖，英语六级！||小学英语,初一初二英语,初一初二数学,初一初二物理,初一初二化学,初三英语,初三数学,初三物理,初三化学,高一高二数学,高一高二化学,高三数学,高三化学,高等数学,英语四级,|||
男|天津|1985|复旦大学（邯郸路）|本科在读|本科在读|地理|本科大二学生|||||||
男|上海|1984|华东师范大学（普陀）|本科在读|本科在读|计算机|本科大四学生|小学数学,小学英语,初一初二英语,初三英语,高一高二英语,初一初二数学,英语四级,计算机基本操作,程序设计初级,|较有耐心,喜欢对不同的人用不同的教学方法英语6级,有英语和数学家教经验程序设计方面,擅长,vc和C++编程，vb熟练||小学数学,小学英语,初一初二英语,初三英语,高一高二英语,初一初二数学,英语四级,计算机基本操作,程序设计初级,|||
男|上海|1985|上海师范大学（徐汇）|本科在读|本科在读|艺术设计|本科大三学生|美术,素描，色彩，速写，儿童画，ＰＨＯＴＯＳＨＯＰ软件应用|有做家教经验，从小学美术，基础较扎实．||美术,素描，色彩，速写，儿童画，ＰＨＯＴＯＳＨＯＰ软件应用|||
